월,제품,고급휘발유,보통휘발유,실내등유,선박용경유,자동차용경유,벙커C유,용제,아스팔트
05월,"1,911.06","1,779.31","1,071.88","1,552.67","1,586.28",934.51,794.66,729.51
06월,"1,944.15","1,815.11","1,097.22","1,530.11","1,610.83",938.96,789.20,720.37
07월,"1,986.24","1,846.48","1,121.63","1,569.29","1,633.68",922.45,813.49,735.74
08월,"1,942.83","1,804.73","1,149.05","1,606.36","1,621.57",912.95,840.72,733.92
09월,"1,954.29","1,794.88","1,115.11","1,592.00","1,603.61",909.91,864.04,724.08
10월,"1,906.34","1,749.54","1,098.20","1,580.33","1,586.76",899.51,848.29,694.38
11월,"1,891.75","1,739.16","1,099.05","1,550.56","1,584.54",877.01,813.88,678.61
12월,"1,901.03","1,747.55","1,117.15","1,544.28","1,592.77",880.54,831.66,654.51
14년 01월,"1,903.08","1,746.79","1,089.09","1,563.24","1,570.05",898.13,852.29,653.61
02월,"1,951.13","1,759.56","1,092.94","1,540.74","1,578.49",905.48,834.87,650.41
03월,"1,919.64","1,765.38","1,075.01","1,558.38","1,568.07",913.96,822.70,644.35
04월,"1,907.54","1,752.03","1,050.47","1,543.67","1,552.14",898.08,822.29,631.64
05월,"1,897.78","1,742.97","1,023.66","1,532.21","1,538.03",891.84,811.67,627.81
06월,"1,899.50","1,746.79","1,021.66","1,508.88","1,527.52",888.53,801.75,604.90
07월,"1,907.55","1,753.82",976.54,"1,496.42","1,511.75",880.37,811.47,641.19
08월,"1,841.46","1,686.08",967.19,"1,478.17","1,492.32",861.50,798.90,634.30
09월,"1,830.49","1,670.86",943.66,"1,464.99","1,470.21",860.66,757.71,635.77
10월,"1,784.05","1,619.57",895.66,"1,435.61","1,416.65",827.11,739.70,614.96
11월,"1,723.56","1,566.36",875.24,"1,384.48","1,379.79",764.16,657.00,570.63
12월,"1,586.92","1,426.12",755.93,"1,348.93","1,265.30",695.09,612.59,512.17
15년 01월,"1,450.10","1,286.18",621.26,"1,246.06","1,137.20",592.01,495.72,456.81
02월,"1,534.13","1,363.12",693.09,"1,124.04","1,193.49",550.53,421.98,449.30
03월,"1,571.33","1,407.69",678.16,"1,139.19","1,205.50",590.63,502.33,465.96
04월,"1,577.57","1,412.82",669.88,"1,179.39","1,203.32",592.49,513.63,436.48
05월,"1,644.32","1,483.41",709.45,"1,171.24","1,251.22",602.20,522.19,434.35
06월,"1,657.21","1,500.36",698.34,"1,203.48","1,241.68",605.40,545.34,445.57
07월,"1,625.86","1,457.98",645.99,"1,205.95","1,186.94",595.21,545.61,401.84
08월,"1,576.03","1,412.26",594.78,"1,141.09","1,132.82",555.65,501.17,392.52
09월,"1,550.43","1,386.59",611.64,"1,089.31","1,144.66",515.42,460.54,355.91
10월,"1,532.91","1,366.39",611.51,"1,101.61","1,131.08",495.18,466.22,321.77
11월,"1,482.48","1,319.67",596.32,"1,096.24","1,115.39",449.06,462.61,284.37
12월,"1,658.66","1,527.02",844.38,850.78,"1,310.93","1,312.88",700.48,693.11,560.27
10년 01월,"1,696.27","1,565.01",870.33,874.87,"1,285.82","1,330.53",691.81,702.10,575.65
02월,"1,697.27","1,571.09",841.49,852.26,"1,310.24","1,326.05",712.61,702.43,595.24
03월,"1,731.51","1,606.21",873.87,887.43,"1,280.69","1,363.89",697.99,672.27,592.89
04월,"1,754.95","1,629.71",912.58,929.41,"1,322.10","1,403.81",706.15,710.99,594.17
05월,"1,731.66","1,600.72",885.63,917.47,"1,351.99","1,392.40",710.66,698.42,603.21
06월,"1,736.38","1,615.52",905.32,934.16,"1,346.29","1,408.50",712.15,686.22,601.15
07월,"1,727.81","1,602.99",886.15,919.57,"1,339.87","1,392.77",694.71,672.86,605.48
08월,"1,720.82","1,591.13",886.88,912.56,"1,345.56","1,388.05",729.25,646.15,597.47
09월,"1,715.13","1,579.57",889.80,913.89,"1,343.32","1,382.24",710.33,660.23,595.28
10월,"1,726.51","1,599.58",931.07,939.62,"1,339.64","1,402.47",710.58,690.78,586.99
11월,"1,741.36","1,617.77",947.35,961.16,"1,352.22","1,420.88",729.19,706.45,570.38
12월,"1,799.07","1,684.38","1,009.17","1,016.15","1,378.54","1,477.10",747.90,734.45,590.48
11년 01월,"1,852.52","1,725.00","1,054.67","1,063.32","1,446.12","1,518.61",767.48,798.56,602.00
02월,"1,864.32","1,742.86","1,093.79","1,103.15","1,482.16","1,567.50",815.53,794.18,613.29
03월,"1,958.43","1,827.83","1,186.76","1,201.48","1,535.83","1,675.08",871.00,817.84,669.15
04월,"1,953.90","1,825.70","1,216.19","1,237.41","1,654.22","1,685.86",974.29,892.47,688.34
05월,"1,954.50","1,803.70","1,153.71","1,239.11","1,642.01","1,613.51","1,005.24",929.92,710.52
06월,"1,901.83","1,787.68","1,153.23","1,180.23","1,605.57","1,617.83",962.73,850.55,699.11
07월,"1,950.04","1,819.47","1,145.98",-,"1,589.73","1,635.43",970.92,837.44,722.25
08월,"1,954.41","1,826.17","1,124.64",-,"1,570.00","1,613.04",980.73,880.33,727.44
09월,"1,996.56","1,868.83","1,146.83",-,"1,553.45","1,638.64",980.17,824.03,733.47
10월,"2,014.54","1,890.43","1,190.44",-,"1,579.99","1,659.38","1,006.24",867.31,749.05
11월,"1,949.70","1,811.82","1,198.31",-,"1,610.86","1,684.05","1,035.01",829.32,784.88
12월,"1,916.83","1,784.35","1,168.55",-,"1,650.47","1,651.75","1,058.38",809.48,782.38
12년 01월,"1,993.39","1,857.94","1,201.59",-,"1,645.09","1,703.26","1,082.09",844.42,795.19
02월,"2,035.24","1,897.01","1,214.74",-,"1,680.29","1,714.33","1,115.81",894.36,838.27
03월,"2,090.78","1,951.11","1,246.41",-,"1,685.42","1,740.51","1,131.38",948.53,844.83
04월,"2,095.20","1,953.74","1,238.41",-,"1,732.57","1,733.81","1,148.61",995.76,852.15
05월,"2,034.64","1,885.43","1,178.29",-,"1,702.87","1,684.96","1,100.45",965.38,827.68
06월,"1,953.07","1,786.75","1,090.28",-,"1,639.35","1,614.01","1,020.12",854.88,809.42
07월,"1,939.51","1,803.12","1,121.97",-,"1,556.84","1,641.43","1,018.91",736.53,781.06
08월,"2,032.57","1,908.60","1,206.89",-,"1,569.28","1,716.67","1,046.05",809.07,776.92
